No.,WD (deg.),CB,x (m),y (m),z (m),Vs (m/s),,,,,,
86,0,2D,0.2,-0.25,0.02,1.24,,,,,,
85,0,2D,0.2,-0.2,0.02,1.39,,,,,,
84,0,2D,0.2,-0.15,0.02,1.7,,,,,,
83,0,2D,0.2,-0.1,0.02,1.52,,,,,,
82,0,2D,0.2,-0.05,0.02,1.43,,,,,,
81,0,2D,0.2,0,0.02,1.34,,,,,,
80,0,2D,0.2,0.05,0.02,1.19,,,,,,
79,0,2D,0.2,0.1,0.02,1.58,,,,,,
109,0,2D,0.2,0.15,0.02,1.64,,,,,,
118,0,2D,0.2,0.2,0.02,1.43,,,,,,
127,0,2D,0.2,0.25,0.02,1.49,,,,,,
131,0,2D,0.2,0.3,0.02,1.3,,,,,,
96,0,2D,0.25,-0.3,0.02,1.34,,,,,,
95,0,2D,0.25,-0.25,0.02,1.49,,,,,,
94,0,2D,0.25,-0.2,0.02,1.58,,,,,,
93,0,2D,0.25,-0.15,0.02,1.55,,,,,,
92,0,2D,0.25,-0.1,0.02,1.39,,,,,,
91,0,2D,0.25,-0.05,0.02,1.15,,,,,,
90,0,2D,0.25,0,0.02,1.17,,,,,,
89,0,2D,0.25,0.05,0.02,1.11,,,,,,
88,0,2D,0.25,0.1,0.02,1.22,,,,,,
110,0,2D,0.25,0.15,0.02,1.52,,,,,,
119,0,2D,0.25,0.2,0.02,1.48,,,,,,
128,0,2D,0.25,0.25,0.02,1.55,,,,,,
132,0,2D,0.25,0.3,0.02,1.54,,,,,,
99,0,2D,0.3,-0.25,0.02,1.57,,,,,,
98,0,2D,0.3,-0.2,0.02,1.56,,,,,,
97,0,2D,0.3,-0.15,0.02,1.61,,,,,,
111,0,2D,0.3,0.15,0.02,1.55,,,,,,
120,0,2D,0.3,0.2,0.02,1.53,,,,,,
129,0,2D,0.3,0.25,0.02,1.64,,,,,,
63,22.5,0D,-0.3,-0.25,0.02,3.41,,,,,,
54,22.5,0D,-0.3,-0.2,0.02,2.76,,,,,,
45,22.5,0D,-0.3,-0.15,0.02,1.65,,,,,,
31,22.5,0D,-0.3,0.15,0.02,2.88,,,,,,
32,22.5,0D,-0.3,0.2,0.02,2.4,,,,,,
33,22.5,0D,-0.3,0.25,0.02,1.83,,,,,,
66,22.5,0D,-0.25,-0.3,0.02,2.11,,,,,,
62,22.5,0D,-0.25,-0.25,0.02,3.15,,,,,,
53,22.5,0D,-0.25,-0.2,0.02,2.36,,,,,,
44,22.5,0D,-0.25,-0.15,0.02,1.61,,,,,,
22,22.5,0D,-0.25,-0.1,0.02,0.96,,,,,,
23,22.5,0D,-0.25,-0.05,0.02,0.79,,,,,,
24,22.5,0D,-0.25,0,0.02,0.88,,,,,,
25,22.5,0D,-0.25,0.05,0.02,0.77,,,,,,
26,22.5,0D,-0.25,0.1,0.02,2.95,,,,,,
27,22.5,0D,-0.25,0.15,0.02,2.54,,,,,,
28,22.5,0D,-0.25,0.2,0.02,1.91,,,,,,
29,22.5,0D,-0.25,0.25,0.02,1.48,,,,,,
30,22.5,0D,-0.25,0.3,0.02,1.25,,,,,,
65,22.5,0D,-0.2,-0.3,0.02,2.59,,,,,,
61,22.5,0D,-0.2,-0.25,0.02,2.65,,,,,,
52,22.5,0D,-0.2,-0.2,0.02,2,,,,,,
43,22.5,0D,-0.2,-0.15,0.02,1.57,,,,,,
13,22.5,0D,-0.2,-0.1,0.02,1.29,,,,,,
14,22.5,0D,-0.2,-0.05,0.02,1.23,,,,,,
15,22.5,0D,-0.2,0,0.02,1.25,,,,,,
16,22.5,0D,-0.2,0.05,0.02,1.51,,,,,,
17,22.5,0D,-0.2,0.1,0.02,2.89,,,,,,
